Romania is a country in southeastern Europe It is north of the Balkan Peninsula on the Lower Danube Part of Romania is circled by the Carpathian Mountains It also has a border on the Black Sea Most of the Danube Delta is found inside Romania Romania shares borders with Hungary and Serbia to the west Ukraine to the far northeast the Republic of Moldova to the near northeast and Bulgaria to the south,0 0 0 Country 0 0 Europe 0 0 0 0 0 Balkan_Peninsula 0 0 0 Danube 0 0 0 0 0 0 0 Carpathian_Mountains 0 0 0 0 0 0 0 Black_Sea 0 0 0 Danube_Delta 0 0 0 0 0 0 0 0 Hungary 0 Serbia 0 0 0 Ukraine 0 0 0 0 0 Republic_of_Moldova 0 0 0 0 0 Bulgaria 0 0 0
Romania is a semi presidential system unitary state It was created when Moldavia and Wallachia joined together in 1859 It was given its Romanian War of Independence in the Treaty of Berlin  At the end of World War II some of its land was occupied by the USSR After the Iron Curtain fell in Romanian Revolution of 1989 Romania was liberated from the communist regime During the 2000s Romania made changes to the country such as reform the democracy system human rights acts freedom of speech acts economy and law That let Romania Accession of Romania to the European Union on January 1 2007,0 0 0 0 0 0 0 0 0 0 Moldavia 0 Wallachia 0 0 0 0 0 0 0 0 Romanian_War_of_Independence 0 0 0 0 0 0 0 World_War_II 0 0 0 0 0 0 0 0 USSR 0 0 Iron_Curtain 0 0 Romanian_Revolution_of_1989 0 0 0 0 0 0 0 0 0 2000s 0 0 0 0 0 0 0 0 0 0 Democracy 0 0 0 0 0 Economy 0 Law 0 0 0 Accession_of_Romania_to_the_European_Union 0 0 0 0
Romania has the List of European Union member states by area and the List of European Union member states by population of the European Union member states The Capital  and biggest city in Romania is Bucharest with a population of 1 6 million One of the cities in Transylvania Sibiu was named a European Capital of Culture Romania joined NATO on March 29 2004,0 0 0 List_of_European_Union_member_states_by_area 0 0 List_of_European_Union_member_states_by_population 0 0 0 0 0 0 0 City 0 0 0 Bucharest 0 0 Population 0 0 0 0 0 0 0 0 0 0 Sibiu 0 0 0 European_Capital_of_Culture 0 0 Nato 0 0 0 0
Some of the oldest human remains found in Europe were discovered in Romania They were about 42 000 years old This may have been when the first Homo sapiens came to Europe,0 0 0 0 Human 0 0 0 Europe 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Homo_sapiens 0 0 0
Herodotus in the fourth book of Histories  written in about 440 Herodotus wrote that the Getae were defeated by the Persian Empire Emperor Darius I of Persia when he battled the Scythians The Getae were called the Dacians by the Romans They were Thracians who were living in Dacia which is where Romania Moldova and the northern part of Bulgaria are now The Dacians attacked the Roman province the border of which was formed by the Danube in 87 This was during Emperor Domitian s rule The Dacians were defeated by the Roman Empire under Emperor Trajan in Trajan s Dacian Wars that lasted from 101 until 106 The Roman Empire made Dacia into the province of Roman Dacia,Herodotus 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Getae 0 0 0 0 Persian_Empire 0 Darius_I_of_Persia 0 0 0 0 Scythians 0 0 0 0 0 Dacians 0 0 0 0 0 Thracians 0 0 0 0 Dacia 0 0 0 0 Moldova 0 0 0 0 0 Bulgaria 0 0 0 0 0 0 Roman_province 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Domitian 0 0 0 0 0 0 0 0 Roman_Empire 0 0 Trajan 0 Trajan 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Roman_Dacia
A lot of ore such as gold and silver were found in Roman Dacia A lot of gold and silver were found in the Western Carpathians Trajan went back to Rome with 165 tons of gold and 330 tons of silver after his conquest,0 0 0 Ore 0 0 Gold 0 Silver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Western_Carpathians 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Conquest
There were many Romans living in the province of Roman Dacia They spoke Vulgar Latin They began to write the local languages using the Latin alphabet Writing languages with the Latin alphabet is called romanization This became the first version of Romanian,0 0 0 0 0 0 0 0 0 0 0 0 0 Vulgar_Latin 0 0 0 0 0 0 0 0 0 0 Alphabet 0 0 0 0 0 0 0 0 Romanization 0 0 0 0 0 0 0
In the 3rd century the province was attacked by groups of nomadic people like the Goths They made the Roman Empire leave Dacia about 271 This became the Roman Empire s first province,0 0 0 0 0 0 0 0 0 0 0 Nomadic 0 0 0 Goths 0 0 0 Roman_Empire 0 Dacia 0 0 0 0 0 0 0 0 0 0
The of modern Romanians is widely talked about by historians to this day It is thought that the Romanians were formed from big groups that came from both the south and north parts of the Danube,0 0 0 0 0 0 0 0 0 Historians 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
From 271 to 275 the Goths took over the abandoned Roman province location They lived in Dacia until the 4th century when another group of wandering peoples the Huns came to Dacia The Gepids Eurasian Avars with the Slavic people were in control of Transylvania through the 8th century In the 8th century however the country was taken over by the Hungarian Empire It was made part of the First Bulgarian Empire which ended Romania s Dark Ages,0 0 0 0 0 Goths 0 0 0 0 0 0 0 0 0 0 Dacia 0 0 0 0 0 0 0 0 0 0 0 Huns 0 0 0 0 Gepids Eurasian_Avars 0 0 0 0 0 0 0 0 Transylvania 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 First_Bulgarian_Empire 0 0 0 0 0 0
The Bulgarians held Transylvania until the 11th century The Pechenegs the Cumans and the Uzes were a few of the people later noted in the history of Romania,0 0 0 0 0 0 0 0 0 Pechenegs 0 Cumans 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Transylvania belonged to the Kingdom of Hungary from around the 10th century until the 16th century when it turned into the Principality of Transylvania This lasted until 1711 Wallachia had been on the border of the Ottoman Empire since the 14th century As the Ottoman Empire s influence grew it gradually fell under the suzerainty of the Ottoman Empire in the 15th century,0 0 0 0 Kingdom_of_Hungary 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Principality_of_Transylvania 0 0 0 0 Wallachia 0 0 0 0 0 0 0 Ottoman_Empire 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Suzerainty 0 0 Ottoman_Empire 0 0 0 0
